ID,Directors
1,Christopher Nolan
2,Lana Wachowski
2,Lilly Wachowski
3,Anthony Russo
3,Joe Russo
4,Robert Zemeckis
5,Sergio Leone
6,Bob Persichetti
6,Peter Ramsey
6,Rodney Rothman
7,Roman Polanski
8,Quentin Tarantino
9,Steven Spielberg
10,Quentin Tarantino
11,Martin Scorsese
12,Rajkumar Hirani
13,Guillermo del Toro
14,Lenny Abrahamson
15,Terry Gilliam
15,Terry Jones
16,Sergio Leone
17,Steven Spielberg
18,Harold Ramis
19,Tom Hooper
20,Spike Jonze
21,Paul Thomas Anderson
22,David Fincher
23,Jean-Marc Vallée
24,Stephen Chbosky
25,Terry Jones
26,Alex Garland
27,David O. Russell
28,Neill Blomkamp
29,Martin Scorsese
30,Duncan Jones
31,Noah Baumbach
32,Nicolas Winding Refn
33,Sang-ho Yeon
34,Brad Bird
35,Nitesh Tiwari
36,Sergio Pablos
36,Carlos Martínez López
37,Steven Spielberg
38,Clint Eastwood
39,Aamir Khan
39,Amole Gupte
40,John Hughes
41,Pierre Coffin
41,Chris Renaud
42,David Mackenzie
43,Frank Miller
43,Robert Rodriguez
43,Quentin Tarantino
44,Wilson Yip
45,Steven Spielberg
46,James Marsh
47,Gabriele Muccino
48,Asif Kapadia
49,Edgar Wright
50,Paul Thomas Anderson
51,Quentin Tarantino
52,Michel Hazanavicius
53,Barry Jenkins
54,Robert Zemeckis
55,Mel Stuart
56,Lasse Hallström
57,David Fincher
58,Naoko Yamada
60,Martin Scorsese
61,Peyton Reed
62,James L. Brooks
63,Robert Zemeckis
64,Malik Bendjelloul
65,Sam Mendes
66,Susan Johnson
67,Aaron Sorkin
68,Gabriela Cowperthwaite
69,Vince Gilligan
70,Oriol Paulo
71,Tomm Moore
72,David Ayer
73,Sam Raimi
74,Richard Curtis
75,Stephen Chow
76,Abdellatif Kechiche
77,Alfonso Cuarón
78,David Zucker
79,Jeff Nichols
80,Kelly Fremon Craig
82,Ashutosh Gowariker
83,Eli Craig
84,Lana Wachowski
84,Lilly Wachowski
85,Fernando Meirelles
86,Edward Zwick
87,Sean Baker
88,Ava DuVernay
89,S.S. Rajamouli
90,Josh Lowell
90,Peter Mortimer
91,Craig Brewer
92,David Yates
93,Galder Gaztelu-Urrutia
94,Bong Joon Ho
96,John Lee Hancock
97,Bryan Fogel
98,David Gelb
99,Tim Burton
99,Mike Johnson
100,Cameron Crowe
101,Armando Iannucci
102,Martin Campbell
103,Mark Herman
105,Phil Johnston
105,Rich Moore
106,Benny Safdie
106,Josh Safdie
107,Wilson Yip
108,Mark Osborne
109,James Ponsoldt
110,S.S. Rajamouli
111,David Slade
112,Rajkumar Hirani
113,Sam Hargrave
114,Yorgos Lanthimos
115,Derek Cianfrance
116,Zoya Akhtar
117,Jeremy Saulnier
118,Jennifer Yuh Nelson
119,Ethan Coen
119,Joel Coen
120,Matt Reeves
121,Chang-dong Lee
122,Steven Spielberg
123,Byron Howard
123,Chris Williams
124,Hideaki Anno
124,Kazuya Tsurumaki
125,Kevin Smith
126,Ron Clements
126,John Musker
127,Nattawut Poonpiriya
128,Robin Hardy
129,Tom Ford
130,Ted Demme
131,Noah Baumbach
132,Claude Barras
133,Chris Smith
134,Anurag Basu
135,Noah Baumbach
136,Sydney Pollack
137,Ron Howard
138,Danny Boyle
139,Ron Underwood
140,Kirk DeMicco
140,Chris Sanders
141,Steven Knight
142,Jay Karas
143,David Mackenzie
144,Dee Rees
145,Jay Roach
146,Jeremy Saulnier
147,Roland Emmerich
148,Alejandro G. Iñárritu
149,Ruben Östlund
150,Mike Flanagan
151,Gavin O'Connor
152,Ashutosh Gowariker
153,Tomas Alfredson
154,Robert Eggers
155,Vishal Bhardwaj
156,R. Balki
157,Mike Flanagan
158,Shekhar Kapur
159,Lana Wilson
160,Marc Forster
161,Jérémy Clapin
162,Grant Sputore
163,Hayao Miyazaki
164,André Øvredal
165,Orlando von Einsiedel
166,Richard LaGravenese
167,Paul Thomas Anderson
168,Ethan Coen
168,Joel Coen
169,David Michôd
170,Nora Twomey
171,Chiwetel Ejiofor
172,Anubhav Sinha
173,Yorgos Lanthimos
174,John Hillcoat
175,Karan Johar
176,Tim Burton
177,Zach Lipovsky
177,Adam B. Stein
178,Jon Olb
178,Madeleine Parry
179,Martin Campbell
180,Barry Levinson
181,Kurt Wimmer
182,Sarah Smith
182,Barry Cook
183,Francis Ford Coppola
184,Evgeny Afineevsky
185,Nahnatchka Khan
186,Neil Jordan
187,Steven Spielberg
188,Ric Roman Waugh
189,Karyn Kusama
190,J.C. Chandor
191,Adam McKay
192,Shakun Batra
193,Ildikó Enyedi
194,Rob Burnett
195,James Wan
196,Mike Binder
197,Michael Bay
198,Martin Campbell
199,Tom Hooper
200,Colm McCarthy
201,Susanne Bier
202,Gore Verbinski
203,Scott Cooper
204,Nagraj Manjule
205,Jay Roach
206,Daniel Lindsay
206,T.J. Martin
207,Mike Mills
208,Nikkhil Advani
209,Dan Kwan
209,Daniel Scheinert
210,Sunao Katabuchi
211,David Lowery
212,Paul Greengrass
213,Phillip Noyce
214,Chris Renaud
214,Jonathan del Val
215,Andy Tennant
217,Denis Villeneuve
218,Oriol Paulo
219,Sebastian Jones
219,Ramez Silyan
220,Steven Spielberg
221,Mike Newell
222,Macon Blair
223,Justin Benson
223,Aaron Moorhead
224,Nora Ephron
225,Louie Psihoyos
226,Babak Anvari
227,Ric Roman Waugh
228,Joachim Rønning
228,Espen Sandberg
229,Rob Marshall
230,Paul Katis
231,David Sington
232,Timo Tjahjanto
233,Jean-François Richet
234,Amar Kaushik
235,Steven Bognar
235,Julia Reichert
236,Jeff Chan
237,Phillip Noyce
238,Lasse Hallström
239,Gastón Duprat
239,Mariano Cohn
240,Hiroshi Aoyama
240,Kazumi Fukushima
240,Jim Stenstrum
241,Jeff Orlowski
242,James Ponsoldt
243,Charlie McDowell
244,Len Wiseman
245,Cristi Puiu
246,Eric Darnell
246,Tom McGrath
247,Antonin Baudry
248,Tommy Wirkola
249,Kris Pearn
249,Cory Evans
249,Rob Lodermeier
250,Orlando von Einsiedel
252,Lana Wachowski
252,Lilly Wachowski
253,Jeff Margolis
254,Jay Roach
255,Nicholas Stoller
