ID,Language
1,English
1,Japanese
1,French
2,English
3,English
4,English
5,Italian
6,English
6,Spanish
7,English
7,German
7,Russian
8,English
8,German
8,French
8,Italian
9,English
9,German
9,Hebrew
9,Spanish
9,Arabic
9,Nepali
10,English
10,German
10,French
10,Italian
11,English
11,Spanish
12,Hindi
12,English
13,Spanish
14,English
15,English
15,French
15,Latin
16,Italian
16,English
16,Spanish
17,English
17,German
17,Greek
17,Arabic
18,English
18,French
18,Italian
19,English
20,English
21,English
21,American Sign Language
22,English
22,French
23,English
23,Japanese
24,English
25,English
25,Latin
26,English
27,English
28,English
28,Nyanja
28,Afrikaans
28,Zulu
28,Xhosa
28,Southern Sotho
29,English
29,Italian
29,Latin
29,Spanish
29,German
30,English
30,Spanish
31,English
31,Spanish
32,English
32,Spanish
33,Korean
33,Hawaiian
34,English
35,Hindi
36,English
36,Saami
37,English
37,Swedish
38,English
39,Hindi
39,English
40,English
40,German
41,English
42,English
43,English
44,Cantonese
44,Mandarin
44,Japanese
45,English
45,Sinhalese
45,Hindi
46,English
46,French
47,English
47,Cantonese
48,English
48,Portuguese
48,French
48,Japanese
49,English
50,English
50,German
50,French
51,English
51,Spanish
51,French
52,English
52,French
53,English
54,English
55,English
55,French
55,German
55,Italian
56,English
57,English
57,Russian
57,French
58,Japanese
58,Japanese Sign Language
59,English
60,English
61,English
61,Spanish
62,English
63,English
64,English
65,English
66,English
67,English
68,English
68,Spanish
69,English
70,Spanish
71,English
71,Irish
72,English
72,Spanish
73,English
74,English
75,Cantonese
75,Mandarin
76,French
76,English
77,Spanish
78,English
79,English
80,English
81,English
82,Hindi
82,English
82,Awadhi
82,Urdu
83,English
84,English
84,French
85,English
85,Spanish
85,Italian
85,Latin
85,Portuguese
85,French
85,German
86,English
86,Japanese
87,English
87,Spanish
87,Portuguese
88,English
89,Telugu
89,Tamil
90,English
91,English
92,English
92,Lingala
92,French
93,Spanish
94,English
94,Korean
94,Spanish
95,English
96,English
97,English
97,Russian
98,Japanese
99,English
100,English
100,American Sign Language
101,English
102,English
102,Russian
102,Spanish
103,English
103,Spanish
104,English
105,English
106,English
107,Cantonese
107,Mandarin
107,English
108,English
109,English
110,Telugu
110,Tamil
111,English
112,Hindi
112,English
112,Urdu
112,Persian
112,Kurdish
113,English
113,Hindi
113,Bengali
114,English
114,French
114,Greek
115,English
116,Hindi
116,Japanese
116,Spanish
116,English
117,English
118,English
119,English
119,French
120,English
120,Russian
121,Korean
121,English
122,English
123,English
124,Japanese
125,English
126,English
126,French
127,Thai
127,English
128,English
129,English
129,Spanish
130,English
131,English
132,French
132,English
133,East-Greenlandic
133,English
134,Hindi
135,French
135,English
136,English
137,English
138,English
139,English
140,English
141,English
142,English
143,English
144,English
145,English
146,English
147,English
147,French
148,English
148,Arabic
148,Spanish
148,Japanese
148,Berber languages
148,French
148,Russian
148,Japanese Sign Language
149,Swedish
149,English
149,Danish
150,English
151,English
152,Hindi
152,English
153,English
153,Russian
153,Hungarian
153,French
153,Turkish
154,English
155,Hindi
156,Hindi
157,English
157,American Sign Language
158,English
158,French
159,English
160,English
161,French
162,English
163,Japanese
163,English
163,French
164,English
165,English
165,French
165,Swahili
166,English
166,Spanish
167,Filipino
167,English
168,English
168,Yiddish
168,Hebrew
169,English
169,French
170,English
171,Arabic
171,Nyanja
171,English
172,Hindi
173,English
173,French
174,English
175,Hindi
175,English
176,English
177,English
178,English
179,English
180,English
181,English
182,English
183,English
184,Ukrainian
184,Russian
184,English
185,English
186,English
187,English
187,German
188,English
189,English
190,English
190,Spanish
191,English
191,Ukrainian
192,Hindi
193,Hungarian
194,English
195,English
196,English
197,English
198,English
198,Mandarin
199,English
199,French
199,German
200,English
201,English
202,English
203,English
203,Cheyenne
203,French
204,Marathi
205,English
206,English
206,Korean
207,English
208,Hindi
209,English
210,Japanese
211,English
211,Spanish
212,English
212,Arabic
212,German
213,English
214,English
215,English
216,English
217,English
218,Spanish
219,English
220,English
220,German
220,Russian
221,English
221,German
221,French
222,English
223,English
224,English
224,French
225,English
226,Persian
227,English
228,Norwegian
228,English
228,French
228,Swedish
229,English
230,English
231,English
232,Indonesian
232,English
232,Mandarin
232,French
233,English
233,Spanish
234,Hindi
235,English
235,Mandarin
236,English
237,English
237,Russian
237,Korean
238,English
238,French
239,Spanish
240,English
241,English
242,English
243,English
244,English
245,Romanian
246,English
246,Italian
247,French
248,English
249,English
250,Arabic
250,English
251,Italian
252,English
252,French
253,English
254,English
254,German
255,English
256,English
256,French
257,English
258,English
259,English
260,Cantonese
260,English
261,English
262,English
263,English
263,Spanish
264,English
265,English
265,French
266,English
267,Hindi
268,English
269,English
269,Spanish
269,Arabic
269,Latin
270,English
270,Korean
270,Estonian
271,English
272,English
272,French
273,English
274,English
275,English
275,Korean
276,English
277,English
278,English
278,Spanish
279,English
280,English
281,Portuguese
281,English
282,English
283,English
284,English
285,English
286,English
286,Korean
287,English
288,English
288,French
289,English
289,French
290,English
291,English
292,English
293,English
294,French
295,English
295,Spanish
296,English
297,Portuguese
298,English
299,English
300,English
301,Hindi
302,English
303,Spanish
304,Italian
304,English
305,English
305,French
306,English
307,English
308,Vietnamese
308,English
308,Japanese
309,English
310,English
311,English
312,English
312,Vietnamese
313,English
314,English
315,English
316,Telugu
317,English
318,English
319,Hindi
320,English
320,Polynesian
320,Spanish
321,Arabic
322,English
323,English
323,Spanish
323,French
323,Romanian
324,English
325,English
326,English
326,Norwegian
327,English
328,English
328,German
329,English
329,Spanish
329,Portuguese
330,English
330,German
331,English
332,English
332,Spanish
332,Russian
333,English
334,English
334,Spanish
335,English
335,Hindi
336,English
337,English
338,English
339,English
339,Spanish
340,English
341,English
341,Korean
342,English
343,English
343,Korean
343,French
344,English
345,English
345,Spanish
346,English
346,Aboriginal
347,Spanish
347,Quechua
347,English
348,English
349,Japanese
350,English
351,Khmer
351,English
351,French
352,Mandarin
353,English
353,Spanish
354,English
354,French
355,English
357,English
358,English
358,French
358,Scottish Gaelic
359,English
360,English
361,English
362,English
363,Mandarin
364,English
364,German
364,Danish
364,Mandarin
364,Cantonese
365,English
366,English
366,Hebrew
366,German
367,Spanish
367,English
368,English
368,French
369,French
369,Flemish
369,English
370,Spanish
370,English
371,Hindi
372,English
372,Hindi
373,English
373,German
373,French
373,Latin
374,Hindi
374,English
375,Hindi
375,Urdu
376,English
376,Latin
377,English
378,French
378,English
379,English
379,Swedish
380,English
381,English
382,English
383,English
384,English
384,Russian
384,Romanian
384,Slovenian
385,English
386,English
387,Filipino
387,Tagalog
387,English
387,Spanish
388,English
388,Portuguese
388,Japanese
389,English
390,English
391,English
392,French
392,English
394,English
395,English
396,Spanish
396,Portuguese
396,Italian
397,English
397,Aboriginal
398,English
399,English
400,English
401,English
402,English
402,Ukrainian
403,French
403,English
403,Italian
403,German
403,Yiddish
404,Georgian
405,English
406,Hindi
407,English
407,Turkmen
